CANNOT chose from ссѣдати	 to 	ссѣцати, снѣдати, ссѣкати, сѣдати, свѣдати, всѣдати	 distance == 1
CANNOT chose from поспѣшитель	 to 	попечитель, посѣтитель	 distance == 2
CANNOT chose from торчинъ	 to 	тиринъ, форвинъ	 distance == 2
CANNOT chose from безлобивый	 to 	беззлобивый, незлобивый	 distance == 1
CANNOT chose from неврѣженый	 to 	неврежденный, невредный, небрежный	 distance == 2
CANNOT chose from прострение	 to 	пестрение, построение	 distance == 2
CANNOT chose from пѣсокъ	 to 	предокъ, посолъ, мескъ, чеснокъ, кусокъ, списокъ, посохъ, потокъ, пятокъ, песъ, пеонъ, порокъ, иесвокъ, сокъ	 distance == 2
CANNOT chose from единде	 to 	единаче, индѣ	 distance == 2
CANNOT chose from прѣткнути	 to 	преминути, претягнути, примкнути, поткнути, пресхнути	 distance == 2
CANNOT chose from всканути	 to 	вскапати, уканути, вскиснути, вскачати	 distance == 2
CANNOT chose from пристряпати	 to 	приступати, пристяжати, пристрадати	 distance == 2
CANNOT chose from цвтѣти	 to 	вдѣти, втещи, летѣти, врѣти, хотѣти, цвѣсти	 distance == 2
CANNOT chose from сгрѣти	 to 	согрѣти, сгорѣти	 distance == 1
CANNOT chose from конячий	 to 	конский, козлячий, горячий	 distance == 2
CANNOT chose from срѣдний	 to 	средный, предний	 distance == 1
CANNOT chose from свѣча	 to 	сѣча, свѣща	 distance == 1
CANNOT chose from фимиянъ	 to 	фирминъ, киминъ, фимиамъ, фимнонъ	 distance == 2
CANNOT chose from пригодити	 to 	приходити, пригонити, приводити	 distance == 1
CANNOT chose from прѣсыщение	 to 	присѣщение, преселение, прельщение, пресѣчение, прещение	 distance == 2
CANNOT chose from ѣства	 to 	жертва, мятва, жатва, котва, паства, сестра, битва, асва, сѣятва, сова, литва	 distance == 2
CANNOT chose from шибати	 to 	питати, имати, писати, шити, читати, уимати, сшивати, лишати, зобати, кивати, витати, зыбати, пивати, лизати	 distance == 2
CANNOT chose from цѣсарский	 to 	гефарский, царский, герарский, гесурский	 distance == 2
CANNOT chose from стыдный	 to 	студный, стадный	 distance == 1
CANNOT chose from перебороти	 to 	преборати, преборити	 distance == 2
CANNOT chose from отцевъ	 to 	озиевъ, осиевъ, сотаевъ	 distance == 2
CANNOT chose from платие	 to 	платно, пожатие	 distance == 2
CANNOT chose from причный	 to 	птичный, присный	 distance == 1
CANNOT chose from исушити	 to 	сушити, усушити	 distance == 1
CANNOT chose from склевати	 to 	блевати, содѣвати, плевати, сплавати, истлѣвати, окаевати, сливати, клепати, оплевати, скрывати, спѣвати, слежати, сплетати, склеити	 distance == 2
CANNOT chose from угожати	 to 	угрожати, угождати	 distance == 1
CANNOT chose from кощуна	 to 	конура, корона	 distance == 2
CANNOT chose from спорый	 to 	спорный, скорый	 distance == 1
CANNOT chose from страдолюбивый	 to 	трудолюбивый, страннолюбивый, страстолюбивый	 distance == 2
CANNOT chose from наказъ	 to 	акакъ, указъ	 distance == 2
CANNOT chose from просмѣивати	 to 	посмѣвати, посмѣявати	 distance == 2
CANNOT chose from привѣтный	 to 	прелѣтный, приемный, приятный, присѣнный, гривенный, превѣчный, трилѣтный, прилежный, праведный, прилѣжный, трисвѣтный, примѣсный, примѣрный, привредный	 distance == 2
CANNOT chose from приспѣхъ	 to 	припѣвъ, поспѣхъ	 distance == 2
CANNOT chose from воръ	 to 	варъ, аворъ, яворъ	 distance == 1
CANNOT chose from сытити	 to 	срѣтити, чтити, свѣтити, стати, сушити, насытити, усырити, мстити, судити, слити, высити, садити, сыпати, сшити, святити, усыпити, свити, смутити, сожити, снити, пытати, мутити, сбити	 distance == 2
CANNOT chose from глупый	 to 	лѣпый, грубый, скупый, тупый, глухий, слѣпый	 distance == 2
CANNOT chose from плате	 to 	блато, злато, платно, длато	 distance == 2
CANNOT chose from высушити	 to 	внушити, сушити, вдушити, вынудити, высити, изсушити, усушити, водушити, выслушати	 distance == 2
CANNOT chose from выпахати	 to 	выражати, впадати, выпѣвати	 distance == 2
CANNOT chose from обыскивати	 to 	взыскивати, обыскати, изыскивати	 distance == 2
CANNOT chose from дурний	 to 	горний, давний, бурный, дружний, мужний	 distance == 2
CANNOT chose from выслужити	 to 	сослужити, служити, послужити, выслушати	 distance == 2
CANNOT chose from пѣтие	 to 	пѣние, питие	 distance == 1
CANNOT chose from безврѣменный	 to 	чрезвременный, безсѣменный, беременный	 distance == 2
CANNOT chose from усчинъ	 to 	угринъ, чинъ	 distance == 2
CANNOT chose from наузъ	 to 	нардъ, разъ, соузъ, азъ, паукъ, низъ, наемъ	 distance == 2
CANNOT chose from усовникъ	 to 	совикъ, упорникъ, угодникъ, сотникъ, духовникъ, сковникъ	 distance == 2
CANNOT chose from дна	 to 	жена, дора	 distance == 2
CANNOT chose from потворство	 to 	притворство, потомство	 distance == 2
CANNOT chose from потрѣбление	 to 	отребление, употребление	 distance == 1
CANNOT chose from закладъ	 to 	заклепъ, саладъ, кладъ, западъ	 distance == 2
CANNOT chose from кашель	 to 	жатель, камень, ткатель, авель, датель	 distance == 2
CANNOT chose from зеленикъ	 to 	весленикъ, цѣлебникъ	 distance == 2
CANNOT chose from потрудити	 to 	утрудити, претрудити	 distance == 2
CANNOT chose from пущение	 to 	поущение, опущение	 distance == 1
CANNOT chose from накладывати	 to 	наказывати, откладывати, накладати	 distance == 2
CANNOT chose from попахати	 to 	полагати, помаати, помагати, помавати, поражати, помазати, попущати, погасати, попрати, подавати, показати, попалити, погашати, подпадати, попирати, попаляти, попасти	 distance == 2
CANNOT chose from переорати	 to 	пребрати, преборати	 distance == 2
CANNOT chose from покрасти	 to 	окрасти, порасти	 distance == 1
CANNOT chose from поклепати	 to 	покупати, клепати, поколебати	 distance == 2
CANNOT chose from подкинути	 to 	подникнути, подчиняти, подчинити, поткнути, повинути, подвигнути, подпинати	 distance == 2
CANNOT chose from непрямо	 to 	впрямо, прямо	 distance == 2
CANNOT chose from доумѣти	 to 	шумѣти, умѣти, думати, недоумѣти	 distance == 2
CANNOT chose from насопъ	 to 	засовъ, асоръ, иасонъ, налогъ, народъ, мнасонъ, иссопъ, нарокъ, находъ	 distance == 2
CANNOT chose from мыто	 to 	мясо, мѣсто, пыро, миро, лѣто, лысто, жито	 distance == 2
CANNOT chose from нисходити	 to 	исходити, низходити	 distance == 1
CANNOT chose from смѣтити	 to 	срѣтити, свѣтити, смѣсити, смутити, смѣжити	 distance == 1
CANNOT chose from запасъ	 to 	запахъ, западъ	 distance == 1
CANNOT chose from мужикъ	 to 	муринъ, мужъ	 distance == 2
CANNOT chose from рѣшетный	 to 	прелѣтный, трелѣтный, трепетный	 distance == 2
CANNOT chose from квашня	 to 	скважня, башня	 distance == 2
CANNOT chose from замѣсити	 to 	завѣсити, замѣтити, замѣнити	 distance == 1
CANNOT chose from каша	 to 	кана, чаша, кама, кара	 distance == 1
CANNOT chose from дозирати	 to 	созирати, озирати	 distance == 1
CANNOT chose from вымыти	 to 	мыти, высити, обмыти, взыти, выняти, вплыти, умыти, измыти, отмыти, омыти, смыти, выдати	 distance == 2
CANNOT chose from выполоскати	 to 	ополоскати, исполоскати	 distance == 2
CANNOT chose from искатати	 to 	искапати, искажати	 distance == 1
CANNOT chose from пивный	 to 	пирный, пияный, дивный, пищный	 distance == 1
CANNOT chose from бражный	 to 	брачный, бранный	 distance == 1
CANNOT chose from пялечный	 to 	плевный, плѣнный, пеленный, полѣзный, полезный, паличный, млечный	 distance == 2
CANNOT chose from смѣтити	 to 	срѣтити, свѣтити, смѣсити, смутити, смѣжити	 distance == 1
CANNOT chose from лѣтникъ	 to 	вѣстникъ, цвѣтникъ, ситникъ, хлѣбникъ, местникъ, плѣнникъ, бѣдникъ, златникъ, ратникъ, щитникъ, сотникъ, путникъ, мѣдникъ, мытникъ	 distance == 2
CANNOT chose from кафтанъ	 to 	дафанъ, кампанъ, каганъ, шафранъ	 distance == 2
CANNOT chose from сарафанъ	 to 	фарфанъ, танафанъ, фардафанъ, сарацынъ, марафонъ	 distance == 2
CANNOT chose from перешити	 to 	вершити, прежити, перейти, пребити, претити, преити, прелити	 distance == 2
CANNOT chose from дорогий	 to 	драгий, другий	 distance == 2
CANNOT chose from пухъ	 to 	пупъ, духъ, пудъ	 distance == 1
CANNOT chose from мѣлкий	 to 	великий, нѣкий, мягкий, мерзкий, легкий, велий, рѣдкий	 distance == 2
CANNOT chose from сумка	 to 	суша, ручка, мука, скука, рука, сула, суета, кума	 distance == 2
CANNOT chose from кортель	 to 	котелъ, король	 distance == 2
CANNOT chose from смѣчати	 to 	смѣжати, смѣшати	 distance == 1
CANNOT chose from портище	 to 	поприще, горлище, полчище, торжище, покоище	 distance == 2
CANNOT chose from починити	 to 	подчинити, сочинити	 distance == 1
CANNOT chose from выручити	 to 	вручити, выручати	 distance == 1
CANNOT chose from прибирати	 to 	призирати, прибивати	 distance == 1
CANNOT chose from атласъ	 to 	аламъ, арасъ, власъ, аттакъ, аиламъ, гласъ, алланъ, класъ	 distance == 2
CANNOT chose from бархатъ	 to 	братъ, сарматъ, архадъ, фарханъ, ахатъ	 distance == 2
CANNOT chose from загибати	 to 	запинати, зазирати, записати, занимати, зачинати, зажинати, заливати, заимати, защищати, погибати, разгибати	 distance == 2
CANNOT chose from рукавъ	 to 	удавъ, указъ, сувавъ	 distance == 2
CANNOT chose from ссуда	 to 	суша, луда, стужа, уда, смута, скука, асида, сула, среда, осада, ссора, руда	 distance == 2
CANNOT chose from скутъ	 to 	скотъ, скитъ	 distance == 1
CANNOT chose from жениный	 to 	лѣнивый, денный, сѣнный, желчный	 distance == 2
CANNOT chose from подрати	 to 	одрати, поорати, побрати, поддати, пожрати, попрати, содрати, подати	 distance == 1
CANNOT chose from хлопотъ	 to 	хоботъ, ропотъ, топотъ	 distance == 2
CANNOT chose from испортити	 to 	испустити, исполнити, оспорити, испоручити	 distance == 2
CANNOT chose from волхва	 to 	оолива, молва, волшба, волна	 distance == 2
CANNOT chose from бѣленкий	 to 	бѣжецкий, еленский	 distance == 2
CANNOT chose from перемяти	 to 	препяти, преяти, порѣяти	 distance == 2
CANNOT chose from сдѣти	 to 	вдѣти, бдѣти, спѣти, сѣдѣти, смѣти	 distance == 1
CANNOT chose from бескверный	 to 	безскверный, нескверный	 distance == 1
CANNOT chose from отдѣлати	 to 	отдѣляти, отдѣлити	 distance == 1
CANNOT chose from куды	 to 	худо, инуды, туда	 distance == 2
CANNOT chose from изговорити	 to 	изготовити, говорити	 distance == 2
CANNOT chose from поколотити	 to 	поглотити, поклонити	 distance == 2
CANNOT chose from сморкати	 to 	умолкати, соткати	 distance == 2
CANNOT chose from посматривати	 to 	обсматривати, усматривати	 distance == 2
CANNOT chose from невѣрка	 to 	невѣста, невѣжа, невѣжда, невѣстка	 distance == 2
CANNOT chose from ковшь	 to 	ковъ, кошъ	 distance == 2
CANNOT chose from братина	 to 	храмина, братия	 distance == 2
CANNOT chose from перемыти	 to 	предыти, пребыти	 distance == 2
CANNOT chose from сито	 to 	сило, жито	 distance == 1
CANNOT chose from выскрести	 to 	воскресати, воскресити	 distance == 2
CANNOT chose from скамия	 to 	кация, статия, скрания, кария, стадия	 distance == 2
CANNOT chose from грязнити	 to 	грузити, грозити	 distance == 2
CANNOT chose from расужение	 to 	разжение, разсуждение, распрѣние, разумѣние, растлѣние, разжжение	 distance == 2
CANNOT chose from понаказати	 to 	наказати, снаказати	 distance == 2
CANNOT chose from кулакъ	 to 	облакъ, кусокъ, злакъ, кладъ, уламъ, клокъ, класъ	 distance == 2
CANNOT chose from кручина	 to 	пучина, кончина, крупица, паучина, купина, причина, дружина	 distance == 2
CANNOT chose from обговоръ	 to 	договоръ, говоръ	 distance == 2
CANNOT chose from обыскъ	 to 	облакъ, оброкъ	 distance == 2
CANNOT chose from закупити	 to 	заступити, купити, откупити, заушити, закопати, искупити	 distance == 2
CANNOT chose from сдещний	 to 	средний, здѣшний, свѣщный	 distance == 2
CANNOT chose from полюбовный	 to 	любовный, нелюбовный	 distance == 2
CANNOT chose from полтина	 to 	пятина, половина	 distance == 2
CANNOT chose from бѣлка	 to 	селха, селла, тетка, рѣка, бочка, бѣда, бѣлица	 distance == 2
CANNOT chose from портный	 to 	потный, постный	 distance == 1
CANNOT chose from дубникъ	 to 	данникъ, узникъ, путникъ, кущникъ	 distance == 2
CANNOT chose from лубие	 to 	литие, рубище, лозие	 distance == 2
CANNOT chose from драница	 to 	вратница, десница, срачица, страница, ратница	 distance == 2
CANNOT chose from прасолъ	 to 	посолъ, расколъ, престолъ	 distance == 2
CANNOT chose from вотчина	 to 	кончина, гатчина	 distance == 2
CANNOT chose from бочесный	 to 	безочесный, бѣсный	 distance == 2
CANNOT chose from семжина	 to 	седмина, гемина, сѣдина	 distance == 2
CANNOT chose from засѣкати	 to 	изсѣкати, затыкати, застати, ласкати, отсѣкати, ссѣкати, засыхати, залежати, разсѣкати, засыпати, задѣвати, посѣкати, засѣсти, усѣкати, насѣвати, завѣщати, замѣчати, натекати	 distance == 2
CANNOT chose from потрохъ	 to 	отрокъ, посохъ, горохъ, потопъ, потокъ, потворъ, покровъ, порокъ, отродъ	 distance == 2
CANNOT chose from ушиный	 to 	иный, утишный, устный, уный, умный, свиный	 distance == 2
CANNOT chose from бараний	 to 	барский, братний	 distance == 2
CANNOT chose from потрошокъ	 to 	потомокъ, потолокъ	 distance == 2
CANNOT chose from овесь	 to 	вѣсъ, овенъ, овощь	 distance == 2
CANNOT chose from солодъ	 to 	слонъ, плодъ, сходъ, слогъ, слѣдъ, сводъ, сподъ	 distance == 2
CANNOT chose from упочивати	 to 	опочивати, почивати	 distance == 1
CANNOT chose from заспа	 to 	вапа, засада, асиа, оспа, фаска, пасха, асва, касиа, асса	 distance == 2
CANNOT chose from лапша	 to 	вапа, чаша, лепта, лаира, лавка	 distance == 2
CANNOT chose from соковый	 to 	яковый, скорый	 distance == 2
CANNOT chose from макъ	 to 	маръ, мракъ	 distance == 1
CANNOT chose from солити	 to 	слити, осолити	 distance == 1
CANNOT chose from вялити	 to 	волити, влити, валити	 distance == 1
CANNOT chose from щи	 to 	вои, мощи, щитъ	 distance == 2
CANNOT chose from прикланяти	 to 	приклоняти, прекланяти	 distance == 1
CANNOT chose from хрѣнь	 to 	хрущь, елень, корень, день	 distance == 2
CANNOT chose from вишня	 to 	вина, башня, воня	 distance == 2
CANNOT chose from пастила	 to 	частица, паутина, паства, паствина	 distance == 2
CANNOT chose from алтынъ	 to 	алмонъ, алланъ	 distance == 2
CANNOT chose from кусъ	 to 	усъ, кумъ	 distance == 1
CANNOT chose from солонина	 to 	оловина, половина	 distance == 2
CANNOT chose from вялый	 to 	малый, рябый, цѣлый, утлый, голый, святый, ярый, бѣлый, велий, злый, милый	 distance == 2
CANNOT chose from высѣкати	 to 	рыскати, изсѣкати, всѣвати, высылати, взыскати, отсѣкати, ссѣкати, выслати, посѣкати, вырѣзати, усѣкати, выпѣвати, востекати, всѣдати	 distance == 2
CANNOT chose from выѣзжати	 to 	вдѣжати, вбѣжати, выражати, вырѣзати	 distance == 2
CANNOT chose from куръ	 to 	суръ, уръ, кумъ, щуръ	 distance == 1
CANNOT chose from приперети	 to 	препрѣти, призрѣти, примѣряти, припѣвати, присѣдѣти, пригорѣти	 distance == 2
CANNOT chose from послушивати	 to 	послушати, выслушивати	 distance == 2
CANNOT chose from варовый	 to 	чаровный, вдовый, садовый, воловый, вѣсовый, таковый, каковый, шаровный, яворовый, суровый, дворовый	 distance == 2
CANNOT chose from посеяти	 to 	порѣяти, повѣяти, посмѣяти, посѣсти	 distance == 1
CANNOT chose from подчищати	 to 	почитати, похищати, подвизати, подчиняти, поджигати, подзирати, подчинити, подущати, почивати, подвигати, подпинати, подписати, очищати	 distance == 2
CANNOT chose from прививати	 to 	пришивати, привитати, прибивати	 distance == 1
CANNOT chose from капустный	 to 	распустный, напастный, напутный	 distance == 2
CANNOT chose from клубъ	 to 	клиръ, алулъ, лукъ, кругъ, плугъ, зубъ, блудъ, климъ, хлѣбъ, рубъ, кладъ, лобъ, клинъ, кумъ, слухъ, клокъ, класъ, лугъ	 distance == 2
CANNOT chose from природити	 to 	приходити, приводити	 distance == 1
CANNOT chose from кашка	 to 	кана, кирка, фаска, чаша, краска, кама, кара, лавка, карфа, касиа, рака, наука	 distance == 2
CANNOT chose from почечный	 to 	поточный, порочный	 distance == 2
CANNOT chose from боранъ	 to 	братъ, феранъ, вранъ, бракъ	 distance == 2
CANNOT chose from прохладъ	 to 	проходъ, прикладъ	 distance == 2
CANNOT chose from сало	 to 	сило, село	 distance == 1
CANNOT chose from перетопити	 to 	перекупити, переносити, переводити, переходити	 distance == 2
CANNOT chose from скоронъ	 to 	сиронъ, скровъ	 distance == 2
CANNOT chose from передѣлати	 to 	перебѣгати, передавати	 distance == 2
CANNOT chose from сальный	 to 	сельный, сольный, сильный	 distance == 1
CANNOT chose from скормити	 to 	вскормити, скорчити, окормити, кормити	 distance == 1
CANNOT chose from отврѣщи	 to 	отрещи, отвлещи	 distance == 1
CANNOT chose from гуща	 to 	куща, губа	 distance == 1
CANNOT chose from кисельный	 to 	жительный, исцѣльный, кудельный, гибельный, сельный, купѣльный	 distance == 2
CANNOT chose from чуланъ	 to 	вуфанъ, чванъ, членъ, уламъ, голанъ, алланъ	 distance == 2
CANNOT chose from страдный	 to 	страшный, смрадный, отрадный, стадный, странный	 distance == 1
CANNOT chose from забѣла	 to 	завѣса, забота, забѣлина	 distance == 2
CANNOT chose from коровка	 to 	корона, коринка	 distance == 2
CANNOT chose from бережный	 to 	мрежный, бренный, небрежный	 distance == 2
CANNOT chose from покормити	 to 	окормити, покорити	 distance == 1
CANNOT chose from издоити	 to 	яздити, издати	 distance == 2
CANNOT chose from кобыла	 to 	кодола, добыча, кобылица	 distance == 2
CANNOT chose from рассытити	 to 	насытити, растити, расхитити	 distance == 2
CANNOT chose from засѣчи	 to 	залещи, зажещи, задѣти, засѣсти, насѣщи, запѣти	 distance == 2
CANNOT chose from мартовский	 to 	саратовский, саровский	 distance == 2
CANNOT chose from нацидити	 to 	навадити, наводити, находити, народити, назидати, насилити, насадити	 distance == 2
CANNOT chose from покласти	 to 	скласти, класти	 distance == 2
CANNOT chose from таганъ	 to 	хаганъ, каганъ	 distance == 1
CANNOT chose from извара	 to 	сквара, избава	 distance == 2
CANNOT chose from перетерти	 to 	перенести, перевести	 distance == 2
CANNOT chose from росольникъ	 to 	состольникъ, раскольникъ	 distance == 2
CANNOT chose from солоница	 to 	больница, сотница	 distance == 2
CANNOT chose from лимонъ	 to 	хитонъ, демонъ, киамонъ, гилонъ, фисонъ, аилонъ, филонъ, киминъ, ливанъ, силонъ, сидонъ, сиронъ, фимнонъ, камонъ, ермонъ, алмонъ, гионъ, дивонъ, илитонъ, сионъ	 distance == 2
CANNOT chose from скусиный	 to 	скудный, искусный, вкусный	 distance == 2
CANNOT chose from раскласти	 to 	воскласти, раскалати, скласти, вскласти, расплаяти	 distance == 2
CANNOT chose from цѣжити	 to 	цѣлити, цѣнити	 distance == 1
CANNOT chose from порохъ	 to 	посохъ, горохъ, порокъ	 distance == 1
CANNOT chose from вычистити	 to 	очистити, отчистити, исчистити, вычитати, чистити	 distance == 2
CANNOT chose from брежный	 to 	мрежный, бренный	 distance == 1
CANNOT chose from жидкий	 to 	дикий, низкий, никий, мидский, рѣдкий	 distance == 2
CANNOT chose from ужина	 to 	узина, ужика	 distance == 1
CANNOT chose from сущь	 to 	суша, русь, соль, мощь, сула, нощь, сѣть, пещь, чудь, куща, сѣнь, вещь	 distance == 2
CANNOT chose from гостиный	 to 	достижный, костный, ослиный, постный, постижный	 distance == 2
CANNOT chose from натина	 to 	истина, паутина, картина, гатчина, тина, пятина, татбина	 distance == 2
CANNOT chose from крошиво	 to 	кропило, коливо	 distance == 2
CANNOT chose from ветчинный	 to 	вѣтвенный, безчинный, вѣтренный, нечинный	 distance == 2
CANNOT chose from переловити	 to 	преложити, преломити	 distance == 2
CANNOT chose from сочко	 to 	око, сочиво	 distance == 2
CANNOT chose from залити	 to 	забити, заити, палити, жалити, налити, валити	 distance == 1
CANNOT chose from навара	 to 	завора, газара, сквара, гаваа, самара	 distance == 2
CANNOT chose from заспица	 to 	частица, маслица	 distance == 2
CANNOT chose from устряпати	 to 	устрашати, уступати, стрясати, истрясати	 distance == 2
CANNOT chose from вываляти	 to 	валяти, отваляти	 distance == 2
CANNOT chose from страшати	 to 	устрашати, страшити	 distance == 1
CANNOT chose from провялити	 to 	пролити, привалити, проводити, проявити, продлити	 distance == 2
CANNOT chose from ледникъ	 to 	бѣдникъ, мѣдникъ	 distance == 1
CANNOT chose from фряский	 to 	фивский, брянский	 distance == 2
CANNOT chose from прѣнести	 to 	принести, перенести, пронести	 distance == 1
CANNOT chose from оцѣпляти	 to 	ослѣпляти, слѣпляти, оцѣняти	 distance == 2
CANNOT chose from полсть	 to 	волость, почесть, персть, плоть, пясть	 distance == 2
CANNOT chose from морхъ	 to 	моръ, мохъ	 distance == 1
CANNOT chose from лысина	 to 	лисица, лядина, взлысина, личина, сина, вышина	 distance == 2
CANNOT chose from попортити	 to 	попустити, покорити	 distance == 2
CANNOT chose from починивати	 to 	повиновати, почивати	 distance == 2
CANNOT chose from лыко	 to 	пыро, лоно, око, лѣто, лысто, млеко	 distance == 2
CANNOT chose from мочало	 to 	начало, орало, точило, мотыло, зачало	 distance == 2
CANNOT chose from шлея	 to 	шия, тля, солея	 distance == 2
CANNOT chose from кнутие	 to 	снитие, клятие, внитие, внятие, обутие, снятие	 distance == 2
CANNOT chose from ременный	 to 	бременный, временный	 distance == 1
CANNOT chose from холщовый	 to 	толковый, воловый	 distance == 2
CANNOT chose from пологъ	 to 	подлогъ, прологъ	 distance == 1
CANNOT chose from ужище	 to 	убѣжище, судище, рубище	 distance == 2
CANNOT chose from платяный	 to 	плитяный, плотяный	 distance == 1
CANNOT chose from кожинный	 to 	кожаный, копийный, повинный, конный, кожный, колѣнный	 distance == 2
CANNOT chose from цѣпникъ	 to 	цвѣтникъ, бѣдникъ, мѣдникъ	 distance == 2
CANNOT chose from фляга	 to 	флегма, влага	 distance == 2
CANNOT chose from огнити	 to 	гнити, огноити	 distance == 1
CANNOT chose from уторъ	 to 	хуторъ, укоръ	 distance == 1
CANNOT chose from свалити	 to 	сварити, свадити, хвалити, валити	 distance == 1
CANNOT chose from бочечный	 to 	совѣчный, конечный	 distance == 2
CANNOT chose from вѣчко	 to 	весло, вѣно, ведро	 distance == 2
CANNOT chose from пригожати	 to 	прилежати, прижати, пригнати	 distance == 2
CANNOT chose from разрыти	 to 	разорити, разоряти	 distance == 2
CANNOT chose from растаскати	 to 	растесати, растаевати, растаявати	 distance == 2
CANNOT chose from подмести	 to 	поднести, подвести, помести	 distance == 1
CANNOT chose from прикласти	 to 	припасти, прислати, приплести, пригласити, прикасати	 distance == 2
CANNOT chose from рыти	 to 	тыти, крыти, мыти, быти	 distance == 1
CANNOT chose from вычесати	 to 	вычерпати, чесати, учесати, вырѣзати, вычитати, вынести, выпѣвати	 distance == 2
CANNOT chose from холодити	 to 	ходити, плодити	 distance == 2
CANNOT chose from фонарь	 to 	козарь, орарь, динарь, винарь	 distance == 2
CANNOT chose from урупка	 to 	ручка, рука	 distance == 2
CANNOT chose from свѣчати	 to 	свѣтати, свѣщати, свѣдати	 distance == 1
CANNOT chose from торчинъ	 to 	тиринъ, форвинъ	 distance == 2
CANNOT chose from груденъ	 to 	гудецъ, градежъ, градецъ	 distance == 2
CANNOT chose from дѣловый	 to 	дѣльный, дѣвый	 distance == 2
CANNOT chose from дробина	 to 	долина, родина, дружина	 distance == 2
CANNOT chose from горшечный	 to 	горушичный, горчичный, горничный	 distance == 2
CANNOT chose from котельный	 to 	постельный, отдѣльный, жительный, кудельный, дѣтельный, купѣльный	 distance == 2
CANNOT chose from сгадати	 to 	сгарати, спадати	 distance == 1
CANNOT chose from ночевати	 to 	допѣвати, содѣвати, надѣвати, сочетати, порѣвати, почивати, напѣвати, насѣвати, одѣвати, воевати	 distance == 2
CANNOT chose from ладъ	 to 	ледъ, людъ	 distance == 1
CANNOT chose from прокиснути	 to 	проникнути, прикоснути	 distance == 2
CANNOT chose from насорити	 to 	населити, настроити, наострити	 distance == 2
CANNOT chose from приквасити	 to 	привалити, привѣсити, пригласити, прикасати	 distance == 2
CANNOT chose from смечати	 to 	сметати, смежати	 distance == 1
CANNOT chose from послѣдъ	 to 	слѣдъ, послѣдокъ	 distance == 2
CANNOT chose from сусло	 to 	число, весло, сѣдло, сукно, сило, масло, село, сткло, сушило	 distance == 2
CANNOT chose from дуракъ	 to 	турокъ, адурамъ, фаракъ, зракъ, урокъ, мракъ, бракъ, сумракъ, харакъ	 distance == 2
CANNOT chose from смывати	 to 	сбывати, омывати, умывати	 distance == 1
CANNOT chose from укурити	 to 	укорити, курити	 distance == 1
CANNOT chose from покрѣпити	 to 	покропити, подкрѣпити	 distance == 1
CANNOT chose from посушити	 to 	посупити, посудити, просушити	 distance == 1
CANNOT chose from засорити	 to 	заточити, затворити, заложити, разорити, заходити	 distance == 2
CANNOT chose from ненадобный	 to 	ненадежный, надобный	 distance == 2
CANNOT chose from безлѣпичный	 to 	безлѣпотный, безличный	 distance == 2
CANNOT chose from тчанъ	 to 	станъ, тлѣнъ, веанъ, чванъ, санъ, фаанъ, чинъ, тернъ, часъ, асанъ, вранъ, панъ	 distance == 2
CANNOT chose from ведерце	 to 	ведение, вѣдѣние, вѣдение	 distance == 2
CANNOT chose from июнь	 to 	огнь, конь, день	 distance == 2
CANNOT chose from маи	 to 	мати, маий	 distance == 1
CANNOT chose from растачивати	 to 	растаевати, растаявати	 distance == 2
CANNOT chose from развѣшивати	 to 	развѣвати, развивати	 distance == 2
CANNOT chose from зарощити	 to 	заточити, народити, заложити, заходити	 distance == 2
CANNOT chose from прогуливати	 to 	проливати, произливати	 distance == 2
CANNOT chose from пропивати	 to 	прописати, пропинати, проживати, пропитати, проливати	 distance == 1
CANNOT chose from привозный	 to 	притворный, приносный, приточный, природный	 distance == 2
CANNOT chose from укаривати	 to 	укрывати, указывати, указовати	 distance == 2
CANNOT chose from бранивати	 to 	сравнивати, бранити	 distance == 2
CANNOT chose from вспоити	 to 	успити, испити, воспочити, вселити	 distance == 2
CANNOT chose from поженити	 to 	помнити, пожити	 distance == 2
CANNOT chose from дородити	 to 	доводити, доходити, породити	 distance == 1
CANNOT chose from сдѣлка	 to 	селха, селла	 distance == 2
CANNOT chose from полюбити	 to 	прелюбити, любити	 distance == 2
CANNOT chose from давывати	 to 	забывати, давати, добывати, даровати, называти, навыкати	 distance == 2
CANNOT chose from чмутъ	 to 	умѣтъ, уметъ, мужъ, ометъ	 distance == 2
CANNOT chose from разлѣзти	 to 	взлѣзти, излѣзти, разрѣзати, разсѣяти, развѣяти, разлити, развести, разлияти, возлѣзти, разверзти	 distance == 2
CANNOT chose from подача	 to 	подоба, подсада, продажа, роздача	 distance == 2
CANNOT chose from ласка	 to 	фаска, лавка	 distance == 1
CANNOT chose from таможный	 to 	тамошний, можный, сапожный	 distance == 2
CANNOT chose from присрочити	 to 	присвоити, прескочити	 distance == 2
CANNOT chose from полонникъ	 to 	поклонникъ, положникъ	 distance == 1
CANNOT chose from прѣщедрый	 to 	всещедрый, премудрый	 distance == 2
CANNOT chose from повадно	 to 	коварно, поздно, побѣдно	 distance == 2
CANNOT chose from скроити	 to 	строити, кроити	 distance == 1
CANNOT chose from ссылати	 to 	спосылати, посылати, отсылати	 distance == 2
CANNOT chose from квашня	 to 	скважня, башня	 distance == 2
CANNOT chose from прѣчудный	 to 	преходный, всечудный, прудный, пречудесный, пресущный, премудрый, преумный	 distance == 2
